times,assemble_time1,assemble_time2,assemble_time3,assemble_time4,assemble_time5,assemble_time6,assemble_time7,assemble_time8,assemble_time9,assemble_time10,assemble_time11,assemble_time12,assemble_time13,assemble_time14,assemble_time15,assemble_time16,assemble_time17,assemble_time18,assemble_time19,assemble_time20,assemble_time21,assemble_time22,assemble_time23,assemble_time24,assemble_time25,assemble_time26,assemble_time27,assemble_time28,assemble_time29,assemble_time30,assemble_time31,assemble_time32,assemble_time33,assemble_time34,assemble_time35,assemble_time36,assemble_time37,assemble_time38,assemble_time39,assemble_time40,assemble_time41,assemble_time42,assemble_time43,assemble_time44,assemble_time45,assemble_time46,assemble_time47,assemble_time48,assemble_time49,assemble_time50,assemble_time51,assemble_time52,assemble_time53,assemble_time54,assemble_time55,assemble_time56,assemble_time57,assemble_time58,assemble_time59,assemble_time60,assemble_time61,assemble_time62,assemble_time63,assemble_time64,assemble_time65,assemble_time66,assemble_time67,assemble_time68,assemble_time69,assemble_time70,assemble_time71,assemble_time72,assemble_time73,assemble_time74,assemble_time75,assemble_time76,assemble_time77,assemble_time78,assemble_time79,assemble_time80,assemble_time81,assemble_time82,assemble_time83,assemble_time84,assemble_time85,assemble_time86,date1,date2,date3,date4,date5,date6,date7,date8,date9,date10,date11,date12,date13,date14,date15,date16,date17,date18,date19,date20,date21,date22,date23,date24,date25,date26,date27,date28,date29,date30,date31,date32,date33,date34,date35,date36,date37,date38,date39,date40,date41,date42,date43,date44,date45,date46,date47,date48,date49,date50,date51,date52,date53,date54,date55,date56,date57,date58,date59,date60,date61,date62,date63,date64,date65,date66,date67,date68,date69,date70,date71,date72,date73,date74,date75,date76,date77,date78,date79,date80,date81,date82,date83,date84,date85,date86,hours1,hours2,hours3,hours4,hours5,hours6,hours7,hours8,hours9,hours10,hours11,hours12,hours13,hours14,hours15,hours16,hours17,hours18,hours19,hours20,hours21,hours22,hours23,hours24,hours25,hours26,hours27,hours28,hours29,hours30,hours31,hours32,hours33,hours34,hours35,hours36,hours37,hours38,hours39,hours40,hours41,hours42,hours43,hours44,hours45,hours46,hours47,hours48,hours49,hours50,hours51,hours52,hours53,hours54,hours55,hours56,hours57,hours58,hours59,hours60,hours61,hours62,hours63,hours64,hours65,hours66,hours67,hours68,hours69,hours70,hours71,hours72,hours73,hours74,hours75,hours76,hours77,hours78,hours79,hours80,hours81,hours82,hours83,hours84,hours85,hours86
1,1811,1824,5463,5446,3612,4337,7240,1826,1828,1826,12827,606,4507,4512,3790,605,9070,1813,1812,1798,723,1085,1098,1078,1086,1096,2422,1086,1090,729,727,740,736,1831,3661,5527,1854,1883,7519,1893,1811,1816,2428,1819 ,1813 ,5472 ,5446 ,3622 ,4336 ,7229 ,1817 ,1829 ,1820 ,12830 ,610 ,4510 ,4500 ,3788 ,608 ,9064 ,1819 ,1809 ,1801 ,716 ,1081 ,1090 ,1084 ,1087 ,1097 ,2423 ,1095 ,1099 ,732 ,721 ,724 ,722 ,1840 ,3670 ,5529 ,1852 ,1877 ,7517 ,1898 ,1823 ,1826 ,2409 ,2018/1/1,2018/1/1,2018/1/1,2018/1/1,2018/1/1,2018/1/1,2018/1/1,2018/1/1,2018/1/1,2018/1/1,2018/1/1,2018/1/1,2018/1/1,2018/1/1,2018/1/1,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/3,2018/1/3,2018/1/3,2018/1/1,2018/1/1,2018/1/1,2018/1/1,2018/1/1,2018/1/1,2018/1/1,2018/1/1,2018/1/1,2018/1/1,2018/1/1,2018/1/1,2018/1/1,2018/1/1,2018/1/1,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/3,2018/1/3,2018/1/3,6,6,6,7,8,10,11,15,15,15,16,16,20,20,21,7,7,7,9,10,10,11,11,11,13,13,13,14,14,15,15,15,15,16,16,17,18,20,20,21,6,6,7,6,6,6,7,8,10,11,15,15,15,16,16,20,20,21,7,7,7,9,10,10,11,11,11,13,13,13,14,14,15,15,15,15,16,16,17,18,20,20,21,6,6,7
2,1826,1826,5473,5501,3683,4464,7514,1813,1818,1813,12670,604,4349,4350,3634,610,9161,1841,1862,1870,747,1141,1135,1130,1142,1142,2550,1091,1093,727,726,732,729,1812,3609,5427,1799,1811,7252,1811,1829,1834,2449,1827 ,1826 ,5479 ,5495 ,3676 ,4475 ,7515 ,1806 ,1819 ,1809 ,12666 ,601 ,4349 ,4349 ,3633 ,611 ,9156 ,1838 ,1858 ,1885 ,756 ,1136 ,1135 ,1136 ,1148 ,1159 ,2549 ,1098 ,1092 ,722 ,723 ,717 ,721 ,1807 ,3612 ,5421 ,1806 ,1805 ,7259 ,1812 ,1824 ,1831 ,2447 ,2018/1/1,2018/1/1,2018/1/1,2018/1/1,2018/1/1,2018/1/1,2018/1/1,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/1,2018/1/1,2018/1/1,2018/1/1,2018/1/1,2018/1/1,2018/1/1,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,15,15,15,16,17,19,20,7,7,7,8,8,13,13,14,16,16,17,19,20,20,21,21,21,22,22,22,6,6,7,7,7,7,8,8,9,10,11,13,13,15,16,16,15,15,15,16,17,19,20,7,7,7,8,8,13,13,14,16,16,17,19,20,20,21,21,21,22,22,22,6,6,7,7,7,7,8,8,9,10,11,13,13,15,16,16
3,1804,1813,5435,5433,3609,4329,7255,1832,1825,1838,12882,618,4586,4583,3636,604,9041,1809,1811,1807,728,1087,1088,1087,1086,1097,2434,1096,1098,724,729,727,741,1854,3706,5595,1880,1895,7638,1917,1810,1814,2414,1818 ,1810 ,5438 ,5435 ,3610 ,4335 ,7247 ,1829 ,1831 ,1822 ,12888 ,637 ,4579 ,4585 ,3636 ,598 ,9049 ,1806 ,1810 ,1818 ,727 ,1086 ,1089 ,1090 ,1096 ,1091 ,2426 ,1096 ,1097 ,730 ,734 ,731 ,736 ,1855 ,3707 ,5599 ,1875 ,1890 ,7635 ,1910 ,1814 ,1811 ,2410 ,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/4,2018/1/4,2018/1/4,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/4,2018/1/4,2018/1/4,7,7,7,8,9,11,13,16,16,17,17,18,22,22,6,8,8,9,11,13,13,14,14,14,14,15,15,15,16,16,17,17,17,18,18,19,20,21,22,22,7,8,8,7,7,7,8,9,11,13,16,16,17,17,18,22,22,6,8,8,9,11,13,13,14,14,14,14,15,15,15,16,16,17,17,17,18,18,19,20,21,22,22,7,8,8
4,1831,1824,5523,5556,3725,4542,7638,1803,1810,1811,12641,604,4354,4375,3657,615,9258,1850,1895,1892,771,1154,1087,1087,1092,1087,2416,1084,1089,725,727,718,723,1812,3603,5415,1812,1815,7268,1826,1842,1837,2465,1835 ,1826 ,5514 ,5554 ,3733 ,4547 ,7645 ,1805 ,1811 ,1810 ,12642 ,603 ,4367 ,4376 ,3658 ,622 ,9250 ,1850 ,1889 ,1891 ,770 ,1143 ,1094 ,1087 ,1090 ,1092 ,2413 ,1088 ,1084 ,727 ,725 ,725 ,725 ,1805 ,3607 ,5418 ,1802 ,1819 ,7261 ,1828 ,1834 ,1846 ,2468 ,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/2,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,16,16,17,18,19,21,22,8,8,9,9,10,14,15,16,18,18,18,21,21,22,22,6,6,6,7,7,7,8,8,8,9,9,10,10,10,11,14,14,15,17,17,18,16,16,17,18,19,21,22,8,8,9,9,10,14,15,16,18,18,18,21,21,22,22,6,6,6,6,7,7,8,8,8,9,9,10,10,10,11,14,14,15,17,17,18
5,1811,1813,5423,5422,3613,4343,7263,1854,1847,1868,13045,625,4353,4365,3614,591,9026,1805,1813,1812,729,1096,1092,1108,1107,1097,2438,1102,1103,738,742,741,743,1869,3752,5632,1893,1817,7272,1812,1802,1802,2402,1812 ,1805 ,5406 ,5415 ,3611 ,4344 ,7261 ,1844 ,1856 ,1854 ,13045 ,628 ,4370 ,4355 ,3610 ,598 ,9029 ,1800 ,1812 ,1812 ,728 ,1088 ,1094 ,1103 ,1101 ,1094 ,2444 ,1103 ,1103 ,746 ,743 ,736 ,741 ,1863 ,3757 ,5633 ,1894 ,1815 ,7257 ,1812 ,1802 ,1807 ,2403 ,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,8,8,9,9,11,13,14,18,18,19,19,20,6,6,8,10,10,10,14,14,15,15,15,16,16,16,16,17,17,18,18,18,19,20,20,20,21,6,6,7,9,9,10,8,8,9,9,11,13,14,18,18,19,19,20,6,6,8,10,10,10,14,14,15,15,15,16,16,16,16,17,17,18,18,18,19,20,20,20,21,6,6,7,9,9,10
6,1845,1852,5595,5586,3776,4581,7268,1811,1799,1811,12629,607,4393,4394,3679,621,9383,1876,1905,1820,725,1085,1085,1095,1094,1083,2410,1078,1081,725,719,720,719,1813,3615,5431,1815,1837,7319,1843,1861,1861,2500,1838 ,1853 ,5590 ,5582 ,3789 ,4580 ,7263 ,1812 ,1808 ,1798 ,12627 ,602 ,4403 ,4397 ,3675 ,623 ,9389 ,1878 ,1914 ,1815 ,726 ,1094 ,1096 ,1086 ,1085 ,1086 ,2404 ,1078 ,1082 ,729 ,728 ,730 ,727 ,1798 ,3623 ,5432 ,1812 ,1828 ,7316 ,1844 ,1860 ,1870 ,2506 ,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/3,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,18,18,19,19,21,22,6,10,10,10,11,11,16,16,17,20,20,20,22,6,6,7,7,7,8,8,8,9,9,10,10,10,10,12,12,13,14,16,16,17,19,19,20,18,18,19,19,21,22,6,10,10,10,11,11,16,16,17,20,20,20,22,6,6,7,7,7,8,8,8,9,9,10,10,10,10,12,12,13,14,16,16,17,19,19,20
7,1804,1807,5410,5412,3622,4365,7319,1882,1883,1886,13240,623,4337,4333,3613,612,9022,1813,1821,1834,730,1107,1099,1101,1108,1110,2467,1106,1106,739,750,750,761,1883,3784,5731,1820,1812,7228,1812,1800,1803,2409,1810 ,1809 ,5418 ,5423 ,3614 ,4368 ,7321 ,1879 ,1871 ,1886 ,13237 ,631 ,4346 ,4337 ,3612 ,596 ,9027 ,1814 ,1817 ,1836 ,730 ,1106 ,1107 ,1096 ,1121 ,1104 ,2468 ,1103 ,1115 ,741 ,750 ,760 ,755 ,1900 ,3787 ,5719 ,1807 ,1817 ,7233 ,1801 ,1805 ,1802 ,2409 ,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,10,10,10,11,13,15,16,20,20,20,21,21,8,8,9,11,11,13,15,16,16,17,17,17,18,18,18,18,19,19,20,20,20,21,21,22,6,7,8,8,10,11,11,10,10,10,11,13,15,16,20,20,20,21,21,8,8,9,11,11,13,15,16,16,17,17,17,18,18,18,18,19,19,20,20,20,21,21,22,6,7,8,8,10,11,11
8,1884,1876,5633,5673,3817,4335,7230,1809,1810,1807,12670,604,4440,4449,3719,634,9448,1879,1801,1807,720,1082,1087,1081,1079,1077,2407,1094,1078,727,722,715,729,1819,3634,5465,1833,1824,7397,1850,1865,1883,2515,1884 ,1875 ,5634 ,5676 ,3816 ,4336 ,7233 ,1805 ,1806 ,1809 ,12672 ,614 ,4445 ,4445 ,3723 ,635 ,9449 ,1905 ,1813 ,1804 ,721 ,1086 ,1085 ,1081 ,1086 ,1081 ,2396 ,1082 ,1078 ,716 ,724 ,725 ,719 ,1819 ,3630 ,5457 ,1832 ,1839 ,7409 ,1846 ,1869 ,1885 ,2522 ,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/4,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,20,20,20,21,22,7,8,11,11,13,13,14,18,18,19,21,21,21,7,8,8,9,9,9,9,10,10,10,11,11,13,13,13,14,14,15,16,17,18,18,20,21,21,20,20,20,21,22,7,8,11,11,13,13,14,18,18,19,21,21,21,7,8,8,9,9,9,9,10,10,10,11,11,13,13,13,14,14,15,16,17,18,18,20,21,21
9,1807,1811,5434,5447,3646,4415,7395,1895,1881,1921,13352,606,4333,4337,3618,600,9071,1818,1840,1845,739,1109,1112,1120,1112,1119,2502,1122,1131,762,755,755,760,1818,3631,5428,1814,1803,7216,1812,1815,1827,2418,1806 ,1803 ,5424 ,5446 ,3642 ,4413 ,7407 ,1891 ,1893 ,1909 ,13357 ,603 ,4322 ,4334 ,3607 ,618 ,9069 ,1817 ,1840 ,1831 ,742 ,1109 ,1118 ,1118 ,1128 ,1118 ,2501 ,1132 ,1129 ,758 ,764 ,768 ,757 ,1812 ,3634 ,5429 ,1804 ,1801 ,7210 ,1801 ,1810 ,1815 ,2426 ,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/7,2018/1/7,2018/1/7,2018/1/7,2018/1/7,2018/1/7,2018/1/7,2018/1/7,2018/1/7,2018/1/7,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/7,2018/1/7,2018/1/7,2018/1/7,2018/1/7,2018/1/7,2018/1/7,2018/1/7,2018/1/7,2018/1/7,11,12,13,14,15,17,18,21,21,22,22,6,10,10,11,14,14,14,17,17,18,18,19,19,19,20,20,20,21,21,22,22,22,6,6,7,8,9,10,10,13,14,14,11,12,13,14,15,17,18,21,21,22,22,6,10,10,11,14,14,14,17,17,18,18,19,19,19,20,20,20,21,21,22,22,22,6,6,7,8,9,10,10,13,14,14
10,1889,1888,5725,5721,3617,4335,7214,1818,1809,1817,12745,611,4476,4468,3776,609,9073,1815,1808,1795,715,1088,1082,1083,1086,1081,2413,1091,1086,721,724,723,725,1829,3656,5486,1834,1872,7444,1878,1921,1907,2421,1889 ,1893 ,5722 ,5720 ,3625 ,4325 ,7208 ,1815 ,1816 ,1817 ,12755 ,615 ,4466 ,4474 ,3774 ,596 ,9078 ,1821 ,1805 ,1808 ,720 ,1091 ,1089 ,1084 ,1083 ,1089 ,2419 ,1086 ,1079 ,727 ,727 ,728 ,738 ,1829 ,3669 ,5484 ,1833 ,1857 ,7444 ,1876 ,1918 ,1904 ,2416 ,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/7,2018/1/7,2018/1/7,2018/1/7,2018/1/7,2018/1/7,2018/1/7,2018/1/7,2018/1/7,2018/1/7,2018/1/7,2018/1/7,2018/1/7,2018/1/7,2018/1/7,2018/1/7,2018/1/7,2018/1/7,2018/1/7,2018/1/7,2018/1/7,2018/1/7,2018/1/7,2018/1/7,2018/1/7,2018/1/7,2018/1/7,2018/1/8,2018/1/5,2018/1/5,2018/1/5,2018/1/5,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/6,2018/1/7,2018/1/7,2018/1/7,2018/1/7,2018/1/7,2018/1/7,2018/1/7,2018/1/7,2018/1/7,2018/1/7,2018/1/7,2018/1/7,2018/1/7,2018/1/7,2018/1/7,2018/1/7,2018/1/7,2018/1/7,2018/1/7,2018/1/7,2018/1/7,2018/1/7,2018/1/7,2018/1/7,2018/1/7,2018/1/7,2018/1/7,2018/1/8,21,21,22,22,7,9,10,14,14,15,15,16,19,19,21,6,6,6,9,9,10,10,10,11,11,11,13,13,14,14,14,14,15,16,16,16,17,19,19,20,22,22,6,21,21,22,22,7,9,10,14,14,15,15,16,19,19,21,6,6,6,9,9,10,10,10,11,11,11,13,13,14,14,14,14,15,16,16,16,17,19,19,20,22,22,6
